date,year,precipitation
4/2/15,2015,0
4/3/15,2015,1.5
4/4/15,2015,0
4/5/15,2015,0
4/6/15,2015,1
4/7/15,2015,0.5
4/8/15,2015,0
4/9/15,2015,0
4/10/15,2015,10.9
4/11/15,2015,0
4/12/15,2015,0
4/13/15,2015,14
4/14/15,2015,3.3
4/15/15,2015,0
4/16/15,2015,0
4/17/15,2015,0
4/18/15,2015,0
4/19/15,2015,0
4/20/15,2015,0
4/21/15,2015,5.6
4/22/15,2015,0
4/23/15,2015,3
4/24/15,2015,3.3
4/25/15,2015,1.3
4/26/15,2015,0
4/27/15,2015,0.3
4/28/15,2015,1.8
4/29/15,2015,0
4/30/15,2015,0
5/1/15,2015,0
5/2/15,2015,0
5/3/15,2015,0
5/4/15,2015,0
5/5/15,2015,6.1
5/6/15,2015,0
5/7/15,2015,0
5/8/15,2015,0
5/9/15,2015,0
5/10/15,2015,0
5/11/15,2015,0
5/12/15,2015,4.3
5/13/15,2015,4.1
5/14/15,2015,0.3
5/15/15,2015,0
5/16/15,2015,0
5/17/15,2015,0
5/18/15,2015,0
5/19/15,2015,0
5/20/15,2015,0
5/21/15,2015,0
5/22/15,2015,0
5/23/15,2015,0
5/24/15,2015,0
5/25/15,2015,0
5/26/15,2015,0
5/27/15,2015,0
5/28/15,2015,0
5/29/15,2015,0
5/30/15,2015,0
5/31/15,2015,0
6/1/15,2015,4.6
6/2/15,2015,0.5
6/3/15,2015,0
6/4/15,2015,0
6/5/15,2015,0
6/6/15,2015,0
6/7/15,2015,0
6/8/15,2015,0
6/9/15,2015,0
6/10/15,2015,0
6/11/15,2015,0
6/12/15,2015,0
6/13/15,2015,0
6/14/15,2015,0
6/15/15,2015,0
6/16/15,2015,0
6/17/15,2015,0
6/18/15,2015,0
6/19/15,2015,0.5
6/20/15,2015,0
6/21/15,2015,0
6/22/15,2015,0
6/23/15,2015,0
6/24/15,2015,0
6/25/15,2015,0
6/26/15,2015,0
6/27/15,2015,0
6/28/15,2015,0.3
6/29/15,2015,0
6/30/15,2015,0
7/1/15,2015,0
7/2/15,2015,0
7/3/15,2015,0
7/4/15,2015,0
7/5/15,2015,0
7/6/15,2015,0
7/7/15,2015,0
7/8/15,2015,0
7/9/15,2015,0
7/10/15,2015,0
7/11/15,2015,0
7/12/15,2015,0
7/13/15,2015,0
7/14/15,2015,0
7/15/15,2015,0
7/16/15,2015,0
7/17/15,2015,0
7/18/15,2015,0
7/19/15,2015,0
7/20/15,2015,0
7/21/15,2015,0
7/22/15,2015,0
7/23/15,2015,0
7/24/15,2015,0.3
7/25/15,2015,0
7/26/15,2015,2
7/27/15,2015,0
7/28/15,2015,0
7/29/15,2015,0
7/30/15,2015,0
7/31/15,2015,0
8/1/15,2015,0
8/2/15,2015,0
8/3/15,2015,0
8/4/15,2015,0
8/5/15,2015,0
8/6/15,2015,0
8/7/15,2015,0
8/8/15,2015,0
8/9/15,2015,0
8/10/15,2015,0
8/11/15,2015,0
8/12/15,2015,7.6
8/13/15,2015,0
8/14/15,2015,30.5
8/15/15,2015,0
8/16/15,2015,0
8/17/15,2015,0
8/18/15,2015,0
8/19/15,2015,0
8/20/15,2015,2
8/21/15,2015,0
8/22/15,2015,0
8/23/15,2015,0
8/24/15,2015,0
8/25/15,2015,0
8/26/15,2015,0
8/27/15,2015,0
8/28/15,2015,0.5
8/29/15,2015,32.5
8/30/15,2015,10.2
8/31/15,2015,0
9/1/15,2015,5.8
9/2/15,2015,0
9/3/15,2015,0
9/4/15,2015,0
9/5/15,2015,0.3
9/6/15,2015,5.3
9/7/15,2015,0.3
9/8/15,2015,0
9/9/15,2015,0
9/10/15,2015,0
9/11/15,2015,0
9/12/15,2015,0
9/13/15,2015,0.5
9/14/15,2015,0
9/15/15,2015,0
9/16/15,2015,1
9/17/15,2015,1.8
9/18/15,2015,0
9/19/15,2015,0
9/20/15,2015,4.1
9/21/15,2015,0
9/22/15,2015,0
9/23/15,2015,0
9/24/15,2015,0
9/25/15,2015,2
9/26/15,2015,0
9/27/15,2015,0
9/28/15,2015,0
9/29/15,2015,0
9/30/15,2015,0
10/1/15,2015,0
10/2/15,2015,0
10/3/15,2015,0
10/4/15,2015,0
10/5/15,2015,0
10/6/15,2015,0
10/7/15,2015,9.9
10/8/15,2015,0
10/9/15,2015,0.3
10/10/15,2015,28.7
10/11/15,2015,0
10/12/15,2015,4.6
10/13/15,2015,1.3
10/14/15,2015,0
10/15/15,2015,0
10/16/15,2015,0
10/17/15,2015,0.3
10/18/15,2015,3.8
10/19/15,2015,0.3
10/20/15,2015,0
10/21/15,2015,0
10/22/15,2015,0
10/23/15,2015,0
10/24/15,2015,0
10/25/15,2015,8.9
10/26/15,2015,6.9
10/27/15,2015,0
10/28/15,2015,3.3
10/29/15,2015,1.8
10/30/15,2015,19.3
10/31/15,2015,33
11/1/15,2015,26.2
11/2/15,2015,0.3
11/3/15,2015,0.8
11/4/15,2015,0
11/5/15,2015,1.3
11/6/15,2015,0
11/7/15,2015,12.7
11/8/15,2015,6.6
11/9/15,2015,3.3
11/10/15,2015,1.3
11/11/15,2015,1.5
11/12/15,2015,9.9
11/13/15,2015,33.5
11/14/15,2015,47.2
11/15/15,2015,22.4
11/16/15,2015,2
11/17/15,2015,29.5
11/18/15,2015,1.5
11/19/15,2015,2
11/20/15,2015,0
11/21/15,2015,0
11/22/15,2015,0
11/23/15,2015,3
11/24/15,2015,7.1
11/25/15,2015,0
11/26/15,2015,0
11/27/15,2015,0
11/28/15,2015,0
11/29/15,2015,0
11/30/15,2015,0.5
12/1/15,2015,12.2
12/2/15,2015,2.5
12/3/15,2015,12.7
12/4/15,2015,2
12/5/15,2015,15.7
12/6/15,2015,11.2
12/7/15,2015,27.4
12/8/15,2015,54.1
12/9/15,2015,13.5
12/10/15,2015,9.4
12/11/15,2015,0.3
12/12/15,2015,16
12/13/15,2015,1.3
12/14/15,2015,0
12/15/15,2015,1.5
12/16/15,2015,3.6
12/17/15,2015,21.8
12/18/15,2015,18.5
12/19/15,2015,0
12/20/15,2015,4.3
12/21/15,2015,27.4
12/22/15,2015,4.6
12/23/15,2015,6.1
12/24/15,2015,2.5
12/25/15,2015,5.8
12/26/15,2015,0
12/27/15,2015,8.6
12/28/15,2015,1.5
12/29/15,2015,0
12/30/15,2015,0
12/31/15,2015,0
