Year,Attribute,Value
1993,Number of countries with 0-10% women in parliament,97
1993,Number of countries with 10-20% women in parliament,40
1993,Number of countries with 20-30% women in parliament,9
1993,Number of countries with 30-40% women in parliament,4
1993,Number of countries with 40-50% women in parliament,0
1993,Number of countries with 50%+ women in parliament,0
1994,Number of countries with no women in parliament,11
1994,Number of countries with 0-10% women in parliament,90
1994,Number of countries with 10-20% women in parliament,44
1994,Number of countries with 20-30% women in parliament,11
1994,Number of countries with 30-40% women in parliament,4
1994,Number of countries with 40-50% women in parliament,1
1994,Number of countries with 50%+ women in parliament,0
1995,Number of countries with no women in parliament,11
1995,Number of countries with 0-10% women in parliament,89
1995,Number of countries with 10-20% women in parliament,43
1995,Number of countries with 20-30% women in parliament,14
1995,Number of countries with 30-40% women in parliament,4
1995,Number of countries with 40-50% women in parliament,1
1995,Number of countries with 50%+ women in parliament,0
1996,Number of countries with no women in parliament,9
1996,Number of countries with 0-10% women in parliament,89
1996,Number of countries with 10-20% women in parliament,44
1996,Number of countries with 20-30% women in parliament,15
1996,Number of countries with 30-40% women in parliament,4
1996,Number of countries with 40-50% women in parliament,1
1996,Number of countries with 50%+ women in parliament,0
1997,Number of countries with no women in parliament,8
1997,Number of countries with 0-10% women in parliament,88
1997,Number of countries with 10-20% women in parliament,45
1997,Number of countries with 20-30% women in parliament,17
1997,Number of countries with 30-40% women in parliament,4
1997,Number of countries with 40-50% women in parliament,1
1997,Number of countries with 50%+ women in parliament,0
1998,Number of countries with no women in parliament,9
1998,Number of countries with 0-10% women in parliament,80
1998,Number of countries with 10-20% women in parliament,52
1998,Number of countries with 20-30% women in parliament,17
1998,Number of countries with 30-40% women in parliament,5
1998,Number of countries with 40-50% women in parliament,1
1998,Number of countries with 50%+ women in parliament,0
1999,Number of countries with no women in parliament,8
1999,Number of countries with 0-10% women in parliament,77
1999,Number of countries with 10-20% women in parliament,50
1999,Number of countries with 20-30% women in parliament,19
1999,Number of countries with 30-40% women in parliament,6
1999,Number of countries with 40-50% women in parliament,1
1999,Number of countries with 50%+ women in parliament,0
2000,Number of countries with no women in parliament,7
2000,Number of countries with 0-10% women in parliament,72
2000,Number of countries with 10-20% women in parliament,51
2000,Number of countries with 20-30% women in parliament,22
2000,Number of countries with 30-40% women in parliament,6
2000,Number of countries with 40-50% women in parliament,1
2000,Number of countries with 50%+ women in parliament,0
2001,Number of countries with no women in parliament,8
2001,Number of countries with 0-10% women in parliament,71
2001,Number of countries with 10-20% women in parliament,50
2001,Number of countries with 20-30% women in parliament,25
2001,Number of countries with 30-40% women in parliament,7
2001,Number of countries with 40-50% women in parliament,1
2001,Number of countries with 50%+ women in parliament,0
2002,Number of countries with no women in parliament,7
2002,Number of countries with 0-10% women in parliament,65
2002,Number of countries with 10-20% women in parliament,55
2002,Number of countries with 20-30% women in parliament,26
2002,Number of countries with 30-40% women in parliament,9
2002,Number of countries with 40-50% women in parliament,1
2002,Number of countries with 50%+ women in parliament,0
2003,Number of countries with no women in parliament,7
2003,Number of countries with 0-10% women in parliament,61
2003,Number of countries with 10-20% women in parliament,58
2003,Number of countries with 20-30% women in parliament,24
2003,Number of countries with 30-40% women in parliament,11
2003,Number of countries with 40-50% women in parliament,2
2003,Number of countries with 50%+ women in parliament,0
2004,Number of countries with no women in parliament,7
2004,Number of countries with 0-10% women in parliament,56
2004,Number of countries with 10-20% women in parliament,63
2004,Number of countries with 20-30% women in parliament,25
2004,Number of countries with 30-40% women in parliament,14
2004,Number of countries with 40-50% women in parliament,2
2004,Number of countries with 50%+ women in parliament,0
2005,Number of countries with no women in parliament,5
2005,Number of countries with 0-10% women in parliament,45
2005,Number of countries with 10-20% women in parliament,69
2005,Number of countries with 20-30% women in parliament,28
2005,Number of countries with 30-40% women in parliament,17
2005,Number of countries with 40-50% women in parliament,2
2005,Number of countries with 50%+ women in parliament,0
2006,Number of countries with no women in parliament,5
2006,Number of countries with 0-10% women in parliament,47
2006,Number of countries with 10-20% women in parliament,66
2006,Number of countries with 20-30% women in parliament,33
2006,Number of countries with 30-40% women in parliament,17
2006,Number of countries with 40-50% women in parliament,2
2006,Number of countries with 50%+ women in parliament,0
2007,Number of countries with no women in parliament,5
2007,Number of countries with 0-10% women in parliament,40
2007,Number of countries with 10-20% women in parliament,66
2007,Number of countries with 20-30% women in parliament,39
2007,Number of countries with 30-40% women in parliament,17
2007,Number of countries with 40-50% women in parliament,3
2007,Number of countries with 50%+ women in parliament,0
2008,Number of countries with no women in parliament,5
2008,Number of countries with 0-10% women in parliament,41
2008,Number of countries with 10-20% women in parliament,63
2008,Number of countries with 20-30% women in parliament,38
2008,Number of countries with 30-40% women in parliament,18
2008,Number of countries with 40-50% women in parliament,3
2008,Number of countries with 50%+ women in parliament,1
2009,Number of countries with no women in parliament,5
2009,Number of countries with 0-10% women in parliament,41
2009,Number of countries with 10-20% women in parliament,56
2009,Number of countries with 20-30% women in parliament,41
2009,Number of countries with 30-40% women in parliament,19
2009,Number of countries with 40-50% women in parliament,5
2009,Number of countries with 50%+ women in parliament,1
2010,Number of countries with no women in parliament,5
2010,Number of countries with 0-10% women in parliament,39
2010,Number of countries with 10-20% women in parliament,59
2010,Number of countries with 20-30% women in parliament,42
2010,Number of countries with 30-40% women in parliament,19
2010,Number of countries with 40-50% women in parliament,5
2010,Number of countries with 50%+ women in parliament,1
2011,Number of countries with no women in parliament,4
2011,Number of countries with 0-10% women in parliament,37
2011,Number of countries with 10-20% women in parliament,60
2011,Number of countries with 20-30% women in parliament,41
2011,Number of countries with 30-40% women in parliament,20
2011,Number of countries with 40-50% women in parliament,8
2011,Number of countries with 50%+ women in parliament,1
2012,Number of countries with no women in parliament,4
2012,Number of countries with 0-10% women in parliament,32
2012,Number of countries with 10-20% women in parliament,59
2012,Number of countries with 20-30% women in parliament,43
2012,Number of countries with 30-40% women in parliament,23
2012,Number of countries with 40-50% women in parliament,8
2012,Number of countries with 50%+ women in parliament,1
2013,Number of countries with no women in parliament,4
2013,Number of countries with 0-10% women in parliament,28
2013,Number of countries with 10-20% women in parliament,55
2013,Number of countries with 20-30% women in parliament,48
2013,Number of countries with 30-40% women in parliament,27
2013,Number of countries with 40-50% women in parliament,7
2013,Number of countries with 50%+ women in parliament,1
2014,Number of countries with no women in parliament,3
2014,Number of countries with 0-10% women in parliament,26
2014,Number of countries with 10-20% women in parliament,59
2014,Number of countries with 20-30% women in parliament,44
2014,Number of countries with 30-40% women in parliament,29
2014,Number of countries with 40-50% women in parliament,11
2014,Number of countries with 50%+ women in parliament,2
2015,Number of countries with no women in parliament,4
2015,Number of countries with 0-10% women in parliament,26
2015,Number of countries with 10-20% women in parliament,59
2015,Number of countries with 20-30% women in parliament,40
2015,Number of countries with 30-40% women in parliament,33
2015,Number of countries with 40-50% women in parliament,11
2015,Number of countries with 50%+ women in parliament,2
2016,Number of countries with no women in parliament,4
2016,Number of countries with 0-10% women in parliament,23
2016,Number of countries with 10-20% women in parliament,57
2016,Number of countries with 20-30% women in parliament,45
2016,Number of countries with 30-40% women in parliament,34
2016,Number of countries with 40-50% women in parliament,10
2016,Number of countries with 50%+ women in parliament,2
2017,Number of countries with no women in parliament,4
2017,Number of countries with 0-10% women in parliament,20
2017,Number of countries with 10-20% women in parliament,58
2017,Number of countries with 20-30% women in parliament,45
2017,Number of countries with 30-40% women in parliament,38
2017,Number of countries with 40-50% women in parliament,9
2017,Number of countries with 50%+ women in parliament,2
2018,Number of countries with no women in parliament,4
2018,Number of countries with 0-10% women in parliament,17
2018,Number of countries with 10-20% women in parliament,57
2018,Number of countries with 20-30% women in parliament,51
2018,Number of countries with 30-40% women in parliament,34
2018,Number of countries with 40-50% women in parliament,10
2018,Number of countries with 50%+ women in parliament,3
2019,Number of countries with no women in parliament,3
2019,Number of countries with 0-10% women in parliament,18
2019,Number of countries with 10-20% women in parliament,50
2019,Number of countries with 20-30% women in parliament,55
2019,Number of countries with 30-40% women in parliament,30
2019,Number of countries with 40-50% women in parliament,16
2019,Number of countries with 50%+ women in parliament,3
2020,Number of countries with no women in parliament,3
2020,Number of countries with 0-10% women in parliament,17
2020,Number of countries with 10-20% women in parliament,42
2020,Number of countries with 20-30% women in parliament,64
2020,Number of countries with 30-40% women in parliament,29
2020,Number of countries with 40-50% women in parliament,17
2020,Number of countries with 50%+ women in parliament,3
2021,Number of countries with no women in parliament,4
2021,Number of countries with 0-10% women in parliament,17
2021,Number of countries with 10-20% women in parliament,41
2021,Number of countries with 20-30% women in parliament,52
2021,Number of countries with 30-40% women in parliament,33
2021,Number of countries with 40-50% women in parliament,21
2021,Number of countries with 50%+ women in parliament,3
2022,Number of countries with no women in parliament,3
2022,Number of countries with 0-10% women in parliament,15
2022,Number of countries with 10-20% women in parliament,44
2022,Number of countries with 20-30% women in parliament,48
2022,Number of countries with 30-40% women in parliament,34
2022,Number of countries with 40-50% women in parliament,24
2022,Number of countries with 50%+ women in parliament,3
2023,Number of countries with no women in parliament,1
2023,Number of countries with 0-10% women in parliament,14
2023,Number of countries with 10-20% women in parliament,45
2023,Number of countries with 20-30% women in parliament,48
2023,Number of countries with 30-40% women in parliament,35
2023,Number of countries with 40-50% women in parliament,24
2023,Number of countries with 50%+ women in parliament,3
